Date,CPI,Region,Stimulus
2020-04-01T00:00:00Z,256.389,South,6127663.88235294
2020-05-01T00:00:00Z,256.394,South,6127663.88235294
2020-06-01T00:00:00Z,257.797,South,6127663.88235294
2020-07-01T00:00:00Z,259.101,South,6127663.88235294
2020-08-01T00:00:00Z,259.918,South,6127663.88235294
2020-09-01T00:00:00Z,260.28,South,6127663.88235294
2020-10-01T00:00:00Z,260.388,South,6127663.88235294
2020-11-01T00:00:00Z,260.229,South,6127663.88235294
2020-12-01T00:00:00Z,260.474,South,6127663.88235294
2021-01-01T00:00:00Z,261.582,South,3212521.35294118
2021-02-01T00:00:00Z,263.014,South,3212521.35294118
2021-03-01T00:00:00Z,264.877,South,8932882.41176471
2021-04-01T00:00:00Z,267.054,South,8932882.41176471
2021-05-01T00:00:00Z,269.195,South,8932882.41176471
2021-06-01T00:00:00Z,271.696,South,8932882.41176471
2020-04-01T00:00:00Z,272.913,West,4753503.38461539
2020-05-01T00:00:00Z,273.062,West,4753503.38461539
2020-06-01T00:00:00Z,274.155,West,4753503.38461539
2020-07-01T00:00:00Z,275.597,West,4753503.38461539
2020-08-01T00:00:00Z,276.443,West,4753503.38461539
2020-09-01T00:00:00Z,276.422,West,4753503.38461539
2020-10-01T00:00:00Z,276.876,West,4753503.38461539
2020-11-01T00:00:00Z,276.875,West,4753503.38461539
2020-12-01T00:00:00Z,276.593,West,4753503.38461539
2021-01-01T00:00:00Z,277.238,West,2483845.30769231
2021-02-01T00:00:00Z,278.702,West,2483845.30769231
2021-03-01T00:00:00Z,280.625,West,6878794.30769231
2021-04-01T00:00:00Z,283.507,West,6878794.30769231
2021-05-01T00:00:00Z,285.793,West,6878794.30769231
2021-06-01T00:00:00Z,288.263,West,6878794.30769231
2020-04-01T00:00:00Z,236.474,Midwest,4850484.83333333
2020-05-01T00:00:00Z,237.291,Midwest,4850484.83333333
2020-06-01T00:00:00Z,239.259,Midwest,4850484.83333333
2020-07-01T00:00:00Z,240.43,Midwest,4850484.83333333
2020-08-01T00:00:00Z,241.362,Midwest,4850484.83333333
2020-09-01T00:00:00Z,241.878,Midwest,4850484.83333333
2020-10-01T00:00:00Z,241.74,Midwest,4850484.83333333
2020-11-01T00:00:00Z,241.316,Midwest,4850484.83333333
2020-12-01T00:00:00Z,241.453,Midwest,4850484.83333333
2021-01-01T00:00:00Z,242.552,Midwest,2550870.5
2021-02-01T00:00:00Z,244.477,Midwest,2550870.5
2021-03-01T00:00:00Z,246.246,Midwest,6874460.66666667
2021-04-01T00:00:00Z,248.169,Midwest,6874460.66666667
2021-05-01T00:00:00Z,250.582,Midwest,6874460.66666667
2021-06-01T00:00:00Z,253.042,Midwest,6874460.66666667
2020-04-01T00:00:00Z,271.325,Northeast,5049878.77777778
2020-05-01T00:00:00Z,271.345,Northeast,5049878.77777778
2020-06-01T00:00:00Z,272.283,Northeast,5049878.77777778
2020-07-01T00:00:00Z,273.347,Northeast,5049878.77777778
2020-08-01T00:00:00Z,273.597,Northeast,5049878.77777778
2020-09-01T00:00:00Z,273.925,Northeast,5049878.77777778
2020-10-01T00:00:00Z,273.374,Northeast,5049878.77777778
2020-11-01T00:00:00Z,273.543,Northeast,5049878.77777778
2020-12-01T00:00:00Z,274.225,Northeast,5049878.77777778
2021-01-01T00:00:00Z,275.427,Northeast,2574754
2021-02-01T00:00:00Z,276.473,Northeast,2574754
2021-03-01T00:00:00Z,278.197,Northeast,7024240.55555556
2021-04-01T00:00:00Z,280.234,Northeast,7024240.55555556
2021-05-01T00:00:00Z,281.858,Northeast,7024240.55555556
2021-06-01T00:00:00Z,284.741,Northeast,7024240.55555556
